year,county,zone_label,zone_code,seats,min_win_votes,min_win_cand,min_win_party,max_lose_votes,max_lose_cand,margin,n_cand
2014,基隆市,基隆市第05選區,10017-05,7,4040,莊錦田,親民黨,3824,沈義傳,216,9
2018,基隆市,基隆市第05選區,10017-05,7,2794,莊錦田,親民黨,2742,陳志成,52,14
2014,基隆市,基隆市第06選區,10017-06,3,2997,林明智,民主進步黨,2759,鄭可熙,238,7
2018,基隆市,基隆市第06選區,10017-06,3,4140,王醒之,無黨籍,3125,林明智,1015,8
2014,基隆市,基隆市第07選區,10017-07,3,3440,蘇仁和,民主進步黨,3246,吳桐茂,194,12
2018,基隆市,基隆市第07選區,10017-07,4,4165,蘇仁和,民主進步黨,2552,張美瓊,1613,6
2022,宜蘭縣,宜蘭縣 三星鄉・大同鄉,,1,6247,陳文昌,民主進步黨,4285,吳珮菱,1962,3
2022,宜蘭縣,宜蘭縣 五結鄉,,3,4747,沈信雄,無黨籍,4456,張明華,291,4
2022,宜蘭縣,宜蘭縣 冬山鄉,,4,4888,邱素梅,無黨籍,3855,張芷珊,1033,6
2022,宜蘭縣,宜蘭縣 南澳鄉・蘇澳鎮,,3,4744,陳玉萍,無黨籍,4208,陳金麟,536,4
2022,宜蘭縣,宜蘭縣 員山鄉,,2,6453,黃浴沂,中國國民黨,,,,2
2022,宜蘭縣,宜蘭縣 壯圍鄉,,2,6373,陳福山,無黨籍,,,,2
2022,宜蘭縣,宜蘭縣 宜蘭市,,7,3525,莊淑如,中國國民黨,3462,黃惠慈,63,17
2022,宜蘭縣,宜蘭縣 礁溪鄉,,2,6301,吳宏謀,民主進步黨,5964,李清林,337,3
2022,宜蘭縣,宜蘭縣 羅東鎮,,5,4248,呂惠卿,民主進步黨,4070,劉添梧,178,9
2022,宜蘭縣,宜蘭縣 頭城鎮,,2,4259,賴良洲,中國國民黨,4211,簡英俊,48,4
